,Response,Response_Delay
0,1.0,62.87864968070857
1,1.0,29.642502515533582
2,2.0,122.84984991736269
3,1.0,21.989094019010608
4,1.0,48.48233805362394
5,1.0,38.56889122827329
6,2.0,31.99828417951632
7,1.0,45.068551029388196
8,1.0,29.06955544647448
9,1.0,20.32409386206936
10,1.0,39.51047665821856
11,1.0,34.65784542177893
12,0.0,-1.0
13,1.0,45.007425457543334
14,2.0,39.299584003942286
15,2.0,66.43130447895992
16,2.0,41.70011852697361
17,2.0,44.91254898233394
18,1.0,43.75025939786595
19,2.0,78.7006517514078
20,2.0,34.84264868392181
21,0.0,-1.0
22,2.0,78.08790646822723
23,0.0,-1.0
24,1.0,31.433956121285995
25,1.0,80.47667518217742
26,0.0,-1.0
27,2.0,40.93105404496725
28,1.0,25.78392656085555
29,0.0,-1.0
30,1.0,39.345654616841614
31,2.0,65.05919125954294
32,1.0,23.05854557743865
33,1.0,60.96712495306757
34,1.0,24.313550908037893
35,1.0,23.01074657721705
36,0.0,-1.0
37,0.0,-1.0
38,0.0,-1.0
39,2.0,32.05798904924767
40,0.0,-1.0
41,2.0,55.599030879264156
42,2.0,45.05213207977397
43,2.0,47.87737418788323
44,0.0,-1.0
45,2.0,48.51833948501212
46,1.0,46.95055626177384
47,0.0,-1.0
48,1.0,26.097473585962483
49,1.0,62.150934309094815
50,1.0,46.622532963555244
51,0.0,-1.0
52,0.0,-1.0
53,0.0,-1.0
54,1.0,65.91382066477732
55,2.0,82.08708666699596
56,0.0,-1.0
57,2.0,41.95091194720683
58,0.0,-1.0
59,2.0,54.64979640603064
60,2.0,42.90816932758473
61,0.0,-1.0
62,0.0,-1.0
63,2.0,32.33686715411058
64,1.0,58.542120268266316
65,1.0,31.759668235036745
66,1.0,56.334914647327146
67,2.0,51.88469021620305
68,1.0,31.211288821029374
69,0.0,-1.0
70,0.0,-1.0
71,1.0,21.764546040754784
72,0.0,-1.0
73,2.0,21.49942237083607
74,1.0,54.96579769882823
75,1.0,17.96752399544547
76,1.0,89.87135272572175
77,2.0,68.7811749498659
78,2.0,77.89884673012997
79,2.0,24.821667276343522
80,0.0,-1.0
81,2.0,56.90773737095611
82,0.0,-1.0
83,2.0,55.454052167295565
84,2.0,27.987147463599896
85,1.0,41.50241928842732
86,0.0,-1.0
87,2.0,52.57680208330849
88,1.0,40.295539808139274
89,2.0,23.26297110622494
90,2.0,40.54291988310151
91,1.0,38.81387656387439
92,2.0,31.816386447626826
93,0.0,-1.0
94,1.0,24.69599096701645
95,2.0,97.22610716744104
96,2.0,52.194669012635394
97,2.0,75.82640839425568
98,1.0,40.375062999916224
99,1.0,91.38832517422183
100,1.0,41.7666032679692
101,1.0,40.058851398180344
102,1.0,43.010998173930865
103,0.0,-1.0
104,1.0,36.606584377188895
105,1.0,55.930602992290474
106,1.0,27.718594872726587
107,0.0,-1.0
108,0.0,-1.0
109,0.0,-1.0
110,2.0,71.6153555118718
111,2.0,45.59761271503737
112,0.0,-1.0
113,1.0,26.66606061360119
114,1.0,69.10239133459541
115,1.0,21.890345898303764
116,2.0,70.88571051352059
117,2.0,60.575036231162244
118,2.0,56.83700805006945
119,0.0,-1.0
120,2.0,72.76356339154617
121,1.0,55.83805191572085
122,2.0,68.36008648537072
123,2.0,37.40701002778192
124,1.0,47.12010916147756
125,2.0,62.792317389672306
126,1.0,31.9645584676262
127,2.0,44.446990844083416
128,2.0,83.69530205941157
129,1.0,46.29917126844305
130,1.0,77.57873154779183
131,2.0,35.133787543734606
132,1.0,26.134453542165915
133,1.0,18.79910380513775
